Composer's Name	Death Year
Nevruz Ergin	
Nevzat Akay	
Nevzat Güyer	
Neyzen Ali Dede	
Neyzen Aziz Dede	1905
Neyzen Emin Dede	1945
Neyzen Mehmed Saîd Dede	1853
Neyzen Mehmet Bey	
Neyzen Raþid  Efendi	1892
Neyzen Rýza Bey	1923
Neyzen Salih Dede	1888
Neyzen Salim Bey	1885
Neyzen Tevfik Kolaylý	1953
Neyzen Yusuf Paþa	1884
Neyzenbaþý Fevzi Dede	
Nezih Korkut	
Nida Tüfekçi	
Nigâr Haným	
Nigâr Osman Haným	
Niðdeli Hikmet Bey	
Nihal Erkutun	1989
Nihat Açar	
Nihat Adlim	
Nihat Özdemir	
Nikoðos Aða	1885
Nikolâki	1915
Nil Kurt	
Nilgün Aygül Bingöl	
Nimet Balkan	
Nimet Çubukoðlu	
Nimet Haným	
Niyazi Damla	
Niyazi Emre	
Niyazi Güler	
Niyazi Mýsrî	1693
Nizamoðlu Seyyid Seyfullah	
Numan Aða	1834
Nuran Atalay	
Nurettin Dadaloðlu	
Nurettin Rüþtü Bingöl	
Nurettin Rüþtü Efe	
Nûri	
Nuri Halil Poyraz	1956
Nuri Üstünses	
Nursen Bayrak	
Olkan Tezcan	
Onur Akay	
Onur Þenli	
Orhan Arýtan	
Orhan Rahmi Gökçe	
Orhan Seyfi Orhon	1972
Orhan Þâik Gökyay	
Orhan Veli Kanýk	1950
Orhan Yüksel	
Osep Aða	1959
Osman Babuþçu	
Osman Kalyoncu	
Osman Nihat Akýn	1959
Osman Nuri Özpekel	
Osman Özdenkçi	
Osman Pehlivan	1947
Osman Takunyacý	
Ozan Yarman	
Ömer Bedrettin Uþaklý	1946
Ömer Dilek	
Ömer Sami Güpgüp	
Özay Gönlüm	
Özcan Korkut	
Özdemir Erdoðan	
Özgen Bilgisel	
Özgen Gürbüz	
Papaz (Kapriyel)	
Pelin Kuruoðlu	
Pesendî	
Pîr Sultan Abdal	
Raci Alkýr	
Radife Erten	
Rafet Baþaran	
Rahmi Bey	1924
Rahmi Duman	
Râkým Elkutlu	1948
Ramazan Gökalp Arkýn	
Ramazan Þenses	
Râsih	
Râtip Âþir	
Rauf Yektâ	1935
Recâizade Mahmut Ekrem	1914
Recep Çelebi (Çömlekçi)	1710
Refik Ahmet Sevengil	1970
Refik Fersan	1965
Refik Talat Alpman	1947
Reftar Kalfa (Tanbûrî)	
Reha Gizey	
Remzi Tevfik Tüzümkan	
Reþad Paþa	
Reþat Aysu	1999
Reþat Erer	1940
Reþat Özpirinççi	
Reþid Bey	
Reþid Mümtaz Paþa	
Rýdvan Çor	
Rýdvan Lâle	
Rýfat Ayaydýn	1974
Rýfat Balaban	
Rýza Ateþ	
Rýza Bey	
Rýza Polat Akkoyunlu	
Rýza Savaþkan	
Rýza Tevfik Bölükbaþý	
Rifat Ahmet Moralý	
Rifat Ayaydýn	
Rifat Bey	
"Rifat Bey (Sermüezzin, Miralay)"	1896
Rifat Efendi (Hâfýz-Molla)	
Rûhî Ayangil	
Rûhi Bey	
Ruhsâtî	
Ruþen Ferid Kam	1981
Rüþtü Demirci	
Rüþtü Eriç	2007
Rüþtü Gür	
Rüþtü Þardað	1994
Saadet Vural	
Sabahat Karakulakoðlu	
Sabahattin Âli	1948
Sabahattin Ergi	
Sâbit	
Sabri Çörek	
Sabri Süha Ansen	
Sadeddin Heper	
Sadettin Kaynak	1961
Sadettin Öktenay	1989
Sadýk Açar	
Sadýk Doðanay	
Sadýk Þendil	
Sâdî Bey	
Sadi Hoþses	1994
Sadi Iþýlay	1969
Sadullah Aða	1801
Sadullah Efendi	1855
Sadun Aksüt	
Saffet Bey	
Safiye Ayla	1998
Safiyüddin	1294
